FPS, Characters, Tasselation, Blade Width, Blade Heigth, Wind Strength
114,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
46,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
94,30,7,0.05,0.5,0.2
84,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
77,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
49,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
49,30,7,0.05,0.5,0.2
128,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
131,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
42,30,7,0.05,0.5,0.2
98,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
89,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
86,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
95,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
52,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
42,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
71,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
99,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
49,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
132,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
87,30,7,0.05,0.5,0.2
88,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
41,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
131,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
46,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
90,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
91,30,7,0.05,0.5,0.2
48,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
95,30,7,0.05,0.5,0.2
128,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
93,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
132,30,7,0.05,0.5,0.2
128,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
43,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
95,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
87,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
129,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
48,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
57,30,7,0.05,0.5,0.2
86,30,7,0.05,0.5,0.2
93,30,7,0.05,0.5,0.2
90,30,7,0.05,0.5,0.2
51,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
102,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
98,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
129,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
47,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
93,30,7,0.05,0.5,0.2
134,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
95,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
102,30,7,0.05,0.5,0.2
79,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
48,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
128,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
131,30,7,0.05,0.5,0.2
98,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
131,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
129,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
53,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
128,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
95,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
44,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
82,30,7,0.05,0.5,0.2
55,30,7,0.05,0.5,0.2
52,30,7,0.05,0.5,0.2
71,30,7,0.05,0.5,0.2
68,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
86,30,7,0.05,0.5,0.2
65,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
50,30,7,0.05,0.5,0.2
129,30,7,0.05,0.5,0.2
136,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
134,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
78,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
51,30,7,0.05,0.5,0.2
113,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
98,30,7,0.05,0.5,0.2
51,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
131,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
99,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
97,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
46,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
101,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
105,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
48,30,7,0.05,0.5,0.2
126,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
130,30,7,0.05,0.5,0.2
94,30,7,0.05,0.5,0.2
133,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
94,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
116,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
49,30,7,0.05,0.5,0.2
132,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
110,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
71,30,7,0.05,0.5,0.2
127,30,7,0.05,0.5,0.2
50,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
108,30,7,0.05,0.5,0.2
90,30,7,0.05,0.5,0.2
103,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
125,30,7,0.05,0.5,0.2
117,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
51,30,7,0.05,0.5,0.2
96,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
118,30,7,0.05,0.5,0.2
102,30,7,0.05,0.5,0.2
100,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
112,30,7,0.05,0.5,0.2
98,30,7,0.05,0.5,0.2
120,30,7,0.05,0.5,0.2
109,30,7,0.05,0.5,0.2
46,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
107,30,7,0.05,0.5,0.2
121,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
106,30,7,0.05,0.5,0.2
111,30,7,0.05,0.5,0.2
115,30,7,0.05,0.5,0.2
119,30,7,0.05,0.5,0.2
102,30,7,0.05,0.5,0.2
114,30,7,0.05,0.5,0.2
123,30,7,0.05,0.5,0.2
122,30,7,0.05,0.5,0.2
104,30,7,0.05,0.5,0.2
124,30,7,0.05,0.5,0.2
